anio_acci;nro_acci;fecha;desc_dia;hora_aprox;desc_ruta;km;cant_participantes;desc_participante;calle_avenida_km;total;heridos_leves;heridos_graves;heridos_gravisimos;ilesos;fallecidos;sin_datos;posicion_XY;desc_tipo_via;desc_ruta_ori;desc_loc;desc_dpto;desc_tipo_calzada;desc_tipo_banquina;desc_unidad_regional;desc_lugar_calzada;desc_zona;desc_prioridad;desc_estado_semaforo;desc_lugar_via;desc_estado_via;desc_estado_visibilidad;desc_luminosidad;desc_estado_clima;desc_tipo_colision;desc_tipo_atropello;desc_tipo_hecho;desc_pres_calzada;desc_senializacion;desc_separacion_via;desc_restriccion
2021;1369;23/4/2021;Viernes;16:00:00;;0.0;2;Pickup/Utilitario,Automóvil;Alvear Y Av. Ntra.Sra.del Rosario;2;1;0;0;0;0;1;-33.000603281979,-60.6663474163;Avenida;;ROSARIO;Rosario;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Lateral;S/D;Colisión;Ninguna;Faltante;Cordón divisorio;Sin restricción
2021;1370;23/4/2021;Viernes;21:05:00;;0.0;1;Moto/Ciclomotor;Av. Ovidio Lagos Y J.M.Gutierrez;1;1;0;0;0;0;0;-32.99482740867548,-60.674148014061;Avenida;;ROSARIO;Rosario;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;Funciona;Intersección;Bueno;Reducida;Diurna;Buen Tiempo;Contra objeto fijo;S/D;Colisión;Ninguna;Vertical;Cordón divisorio;Sin restricción
2021;1371;2/4/2021;Viernes;23:05:00;;0.0;2;Automóvil,Camión Chasis;Av. Provincias Unidas Y Bv. 27 De Febrero;2;1;0;0;1;0;0;-32.959348242415,-60.711899030022;Avenida;;ROSARIO;Rosario;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;Funciona;Recta;Bueno;Buena;Nocturna,Con luz artificial;Buen Tiempo;De alcance;S/D;Colisión;Ninguna;Horizontal,Vertical;Cordón divisorio;Sin restricción
2021;1372;23/4/2021;Viernes;20:35:00;;0.0;2;Camión,Moto/Ciclomotor;Bv. Avellaneda Y Lamadrid;3;2;0;0;1;0;0;-32.998373425436,-60.68895128411;Avenida;;ROSARIO;Rosario;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Nocturna;Buen Tiempo;Lateral;S/D;Colisión;Ninguna;Horizontal;Cordón divisorio;Sin restricción
2021;1373;7/4/2021;Miercoles;15:35:00;;0.0;2;Moto/Ciclomotor,Moto/Ciclomotor;Av. Pellegrini Y Carriego;2;2;0;0;0;0;0;-32.948151227108,-60.691378778129;Avenida;;ROSARIO;Rosario;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;S/D;S/D;Colisión;Ninguna;Horizontal;Cordón divisorio;Sin restricción
2021;1374;25/4/2021;Domingo;14:30:00;;0.0;2;Moto/Ciclomotor,Automóvil;Pje. Hutchinson Y Pte. Quintana;2;1;0;0;1;0;0;-32.977241866046,-60.676664108603;Calle;;ROSARIO;Rosario;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Lateral;S/D;Colisión;Ninguna;Faltante;Cordón divisorio;Sin restricción
2021;1375;26/4/2021;Lunes;06:00:00;;0.0;2;Moto/Ciclomotor,Automóvil;Av. Ntra.Sra.del Rosario Y Bv. Oroño;2;1;0;0;1;0;0;-33.000560550609,-60.664925665484;Avenida;;ROSARIO;Rosario;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;Funciona;Intersección;Bueno;Buena;Amanecer;Buen Tiempo;Lateral;S/D;Colisión;Ninguna;Horizontal,Vertical;Cordón divisorio;Sin restricción
2021;1376;10/4/2021;Sabado;20:45:00;;0.0;2;Automóvil,Moto/Ciclomotor;Av. Battle y Ordoñez 5500;2;1;0;0;1;0;0;-33.010267814246,-60.696714367737;Avenida;;ROSARIO;Rosario;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;No existe;Recta;Bueno;Reducida;Nocturna;Lluvia;De alcance;S/D;Colisión;Ninguna;Faltante;Cordón divisorio;Sin restricción
2021;1378;27/4/2021;Martes;06:40:00;;0.0;2;Automóvil,Automóvil;Av. Uriburu Y Bv. Avellaneda;2;2;0;0;0;0;0;-32.991855217714,-60.688655728241;Avenida;;ROSARIO;Rosario;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;Funciona;Intersección;Bueno;Buena;Amanecer;Buen Tiempo;S/D;S/D;Colisión;Ninguna;Horizontal,Vertical;Cordón divisorio;Sin restricción
2021;1379;9/5/2021;Domingo;13:10:00;;0.0;2;Automóvil,Moto/Ciclomotor;San Martin Y 33 Cristo Rey;3;2;0;0;1;0;0;-33.02534, -60.7558;Avenida;;SOLDINI;Rosario;Asfalto;Natural;II;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;De alcance;S/D;Colisión;Ninguna;Faltante;Cordón divisorio;Sin restricción
